"alpha.water","p_rgh","p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
1,15948,15948,0,0,0,0,0,0
1,15947,15947,0,0,0,0.1,0,0
1,15947,15947,0,0,0,0.1,0,1
1,15948,15948,0,0,0,0,0,1
1,15891,15891,0,0,0,0.2,0,0
1,15891,15891,0,0,0,0.2,0,1
1,15737,15737,0,0,0,0.3,0,0
1,15737,15737,0,0,0,0.3,0,1
1,15503,15503,0,0,0,0.4,0,0
1,15503,15503,0,0,0,0.4,0,1
1,15198,15198,0,0,0,0.5,0,0
1,15198,15198,0,0,0,0.5,0,1
1,14811,14811,0,0,0,0.6,0,0
1,14811,14811,0,0,0,0.6,0,1
1,14330,14330,0,0,0,0.7,0,0
1,14330,14330,0,0,0,0.7,0,1
1,13744,13744,0,0,0,0.8,0,0
1,13744,13744,0,0,0,0.8,0,1
1,13036,13036,0,0,0,0.9,0,0
1,13036,13036,0,0,0,0.9,0,1
1,12194,12194,0,0,0,1,0,0
1,12194,12194,0,0,0,1,0,1
1,11206,11206,0,0,0,1.1,0,0
1,11206,11206,0,0,0,1.1,0,1
1,10066,10066,0,0,0,1.2,0,0
1,10066,10066,0,0,0,1.2,0,1
1,8769.7,8769.7,0,0,0,1.3,0,0
1,8769.7,8769.7,0,0,0,1.3,0,1
1,7338.2,7338.2,0,0,0,1.4,0,0
1,7338.2,7338.2,0,0,0,1.4,0,1
1,5848.8,5848.8,0,0,0,1.5,0,0
1,5848.8,5848.8,0,0,0,1.5,0,1
0.99998,4434.5,4434.5,0,0,0,1.6,0,0
0.99998,4434.5,4434.5,0,0,0,1.6,0,1
0.99993,3225.3,3225.3,0,0,0,1.7,0,0
0.99993,3225.3,3225.3,0,0,0,1.7,0,1
0.99879,2267.6,2267.6,0,0,0,1.8,0,0
0.99879,2267.6,2267.6,0,0,0,1.8,0,1
0.98929,1494.1,1494.1,0,0,0,1.9,0,0
0.98929,1494.1,1494.1,0,0,0,1.9,0,1
0.83636,929.81,929.81,0,0,0,2,0,0
0.83636,929.81,929.81,0,0,0,2,0,1
0.39429,440.31,440.31,0,0,0,2.1,0,0
0.39429,440.31,440.31,0,0,0,2.1,0,1
0.051048,101.02,101.02,0,0,0,2.2,0,0
0.051048,101.02,101.02,0,0,0,2.2,0,1
0.003125,33.149,33.149,0,0,0,2.3,0,0
0.003125,33.149,33.149,0,0,0,2.3,0,1
0.00052077,21.296,21.296,0,0,0,2.4,0,0
0.00052077,21.296,21.296,0,0,0,2.4,0,1
7.015e-05,17.657,17.657,0,0,0,2.5,0,0
7.015e-05,17.657,17.657,0,0,0,2.5,0,1
7.8348e-06,15.474,15.474,0,0,0,2.6,0,0
7.8348e-06,15.474,15.474,0,0,0,2.6,0,1
7.4224e-07,13.825,13.825,0,0,0,2.7,0,0
7.4224e-07,13.825,13.825,0,0,0,2.7,0,1
6.0279e-08,12.543,12.543,0,0,0,2.8,0,0
6.0279e-08,12.543,12.543,0,0,0,2.8,0,1
4.2148e-09,11.509,11.509,0,0,0,2.9,0,0
4.2148e-09,11.509,11.509,0,0,0,2.9,0,1
2.5472e-10,10.668,10.668,0,0,0,3,0,0
2.5472e-10,10.668,10.668,0,0,0,3,0,1
1.3475e-11,9.9829,9.9829,0,0,0,3.1,0,0
1.3475e-11,9.9829,9.9829,0,0,0,3.1,0,1
8.0512e-13,9.4213,9.4213,0,0,0,3.2,0,0
8.0512e-13,9.4213,9.4213,0,0,0,3.2,0,1
6.4868e-14,8.9605,8.9605,0,0,0,3.3,0,0
6.4868e-14,8.9605,8.9605,0,0,0,3.3,0,1
2.8993e-15,8.5831,8.5831,0,0,0,3.4,0,0
2.8993e-15,8.5831,8.5831,0,0,0,3.4,0,1
7.8588e-17,8.2761,8.2761,0,0,0,3.5,0,0
7.8588e-17,8.2761,8.2761,0,0,0,3.5,0,1
1.7472e-18,8.0295,8.0295,0,0,0,3.6,0,0
1.7472e-18,8.0295,8.0295,0,0,0,3.6,0,1
3.1358e-20,7.8359,7.8359,0,0,0,3.7,0,0
3.1358e-20,7.8359,7.8359,0,0,0,3.7,0,1
4.2641e-22,7.6909,7.6909,0,0,0,3.8,0,0
4.2641e-22,7.6909,7.6909,0,0,0,3.8,0,1
5.3201e-24,7.5855,7.5855,0,0,0,3.9,0,0
5.3201e-24,7.5855,7.5855,0,0,0,3.9,0,1
3.4805e-24,7.5409,7.5409,0,0,0,4,0,0
3.4805e-24,7.5409,7.5409,0,0,0,4,0,1
