"kst","nut","wetDry","S","alpha","H","HU:0","HU:1","HU:2","U:0","U:1","U:2","Points:0","Points:1","Points:2"
30,0.0022053,1,0,0.6385,0.088477,0.20352,0,0,2.2984,0,0,6,4,0
30,0.0018126,1,0,0.79033,0.073766,0.16398,0,0,2.2166,0,0,6.1,4,0
30,0.0012948,1,0,1.1281,0.054496,0.11344,0,0,2.0622,0,0,6.2,4,0
30,0.00073471,1,0,2.0782,0.032987,0.061208,0,0,1.8031,0,0,6.3,4,0
30,0.00027825,1,0,6.7059,0.014076,0.021635,0,0,1.3933,0,0,6.4,4,0
30,4.7944e-05,0.5,0,5.3101,0.003193,0.0034194,0,0,0.5717,0,0,6.5,4,0
30,0,0,0,0,0.00020243,0,0,0,0,0,0,6.6,4,0
30,0,0,0,0,0,0,0,0,0,0,0,6.7,4,0
30,0,0,0,0,0,0,0,0,0,0,0,6.8,4,0
30,0,0,0,0,0,0,0,0,0,0,0,6.9,4,0
30,0,0,0,0,0,0,0,0,0,0,0,7,4,0
30,0,0,0,0,0,0,0,0,0,0,0,7.1,4,0
30,0,0,0,0,0,0,0,0,0,0,0,7.2,4,0
30,0,0,0,0,0,0,0,0,0,0,0,7.3,4,0
30,0,0,0,0,0,0,0,0,0,0,0,7.4,4,0
30,0,0,0,0,0,0,0,0,0,0,0,7.5,4,0
30,0,0,0,0,0,0,0,0,0,0,0,7.6,4,0
30,0,0,0,0,0,0,0,0,0,0,0,7.7,4,0
30,0,0,0,0,0,0,0,0,0,0,0,7.8,4,0
30,0,0,0,0,0,0,0,0,0,0,0,7.9,4,0
30,0,0,0,0,0,0,0,0,0,0,0,8,4,0
30,0.0026156,1,0,0.19068,0.16554,0.26052,-0.032327,-1.1014e-24,1.5738,-0.19529,-6.6538e-24,4,0,1
30,0.0026398,1,0,0.21984,0.15618,0.26409,0,0,1.6911,0,0,4.1,0,1
30,0.0026844,1,0,0.23117,0.15381,0.26789,0,0,1.742,0,0,4.2,0,1
30,0.0027215,1,0,0.24382,0.15104,0.27081,0,0,1.7933,0,0,4.3,0,1
30,0.0027518,1,0,0.25749,0.14805,0.27294,0,0,1.8439,0,0,4.4,0,1
30,0.0027761,1,0,0.27199,0.14495,0.27441,0,0,1.8934,0,0,4.5,0,1
30,0.0027957,1,0,0.28716,0.14182,0.27535,0,0,1.9418,0,0,4.6,0,1
30,0.0028115,1,0,0.30288,0.13874,0.2759,0,0,1.9889,0,0,4.7,0,1
30,0.0028245,1,0,0.31898,0.13576,0.27617,0,0,2.0346,0,0,4.8,0,1
30,0.0028352,1,0,0.33529,0.1329,0.27624,0,0,2.0787,0,0,4.9,0,1
30,0.0028439,1,0,0.35163,0.1302,0.27614,0,0,2.1211,0,0,5,0,1
30,0.0028505,1,0,0.3679,0.12764,0.27587,0,0,2.1614,0,0,5.1,0,1
30,0.0028542,1,0,0.38406,0.12521,0.27536,0,0,2.1993,0,0,5.2,0,1
30,0.0028536,1,0,0.40022,0.12285,0.27447,0,0,2.2344,0,0,5.3,0,1
30,0.0028464,1,0,0.41675,0.12044,0.27294,0,0,2.2663,0,0,5.4,0,1
30,0.0028287,1,0,0.43433,0.11784,0.27036,0,0,2.2945,0,0,5.5,0,1
30,0.0027946,1,0,0.45418,0.11482,0.26613,0,0,2.318,0,0,5.6,0,1
30,0.0027348,1,0,0.47836,0.11103,0.25926,0,0,2.3351,0,0,5.7,0,1
30,0.002634,1,0,0.51067,0.10597,0.24824,0,0,2.3426,0,0,5.8,0,1
30,0.0024686,1,0,0.55859,0.098823,0.23071,0,0,2.3342,0,0,5.9,0,1
30,0.0022053,1,0,0.6385,0.088477,0.20352,0,0,2.2984,0,0,6,0,1
30,0.0018126,1,0,0.79033,0.073766,0.16398,0,0,2.2166,0,0,6.1,0,1
30,0.0012948,1,0,1.1281,0.054496,0.11344,0,0,2.0622,0,0,6.2,0,1
30,0.00073471,1,0,2.0782,0.032987,0.061208,0,0,1.8031,0,0,6.3,0,1
30,0.00027825,1,0,6.7059,0.014076,0.021635,0,0,1.3933,0,0,6.4,0,1
30,4.7944e-05,0.5,0,5.3101,0.003193,0.0034194,0,0,0.5717,0,0,6.5,0,1
30,0,0,0,0,0.00020243,0,0,0,0,0,0,6.6,0,1
30,0,0,0,0,0,0,0,0,0,0,0,6.7,0,1
30,0,0,0,0,0,0,0,0,0,0,0,6.8,0,1
30,0,0,0,0,0,0,0,0,0,0,0,6.9,0,1
30,0,0,0,0,0,0,0,0,0,0,0,7,0,1
30,0,0,0,0,0,0,0,0,0,0,0,7.1,0,1
30,0,0,0,0,0,0,0,0,0,0,0,7.2,0,1
30,0,0,0,0,0,0,0,0,0,0,0,7.3,0,1
30,0,0,0,0,0,0,0,0,0,0,0,7.4,0,1
30,0,0,0,0,0,0,0,0,0,0,0,7.5,0,1
30,0,0,0,0,0,0,0,0,0,0,0,7.6,0,1
30,0,0,0,0,0,0,0,0,0,0,0,7.7,0,1
30,0,0,0,0,0,0,0,0,0,0,0,7.8,0,1
30,0,0,0,0,0,0,0,0,0,0,0,7.9,0,1
30,0,0,0,0,0,0,0,0,0,0,0,8,0,1
30,0.0026156,1,0,0.19068,0.16554,0.26052,-0.032327,-1.1014e-24,1.5738,-0.19529,-6.6538e-24,4,4,1
30,0.0026398,1,0,0.21984,0.15618,0.26409,0,0,1.6911,0,0,4.1,4,1
30,0.0026844,1,0,0.23117,0.15381,0.26789,0,0,1.742,0,0,4.2,4,1
30,0.0027215,1,0,0.24382,0.15104,0.27081,0,0,1.7933,0,0,4.3,4,1
30,0.0027518,1,0,0.25749,0.14805,0.27294,0,0,1.8439,0,0,4.4,4,1
30,0.0027761,1,0,0.27199,0.14495,0.27441,0,0,1.8934,0,0,4.5,4,1
30,0.0027957,1,0,0.28716,0.14182,0.27535,0,0,1.9418,0,0,4.6,4,1
30,0.0028115,1,0,0.30288,0.13874,0.2759,0,0,1.9889,0,0,4.7,4,1
30,0.0028245,1,0,0.31898,0.13576,0.27617,0,0,2.0346,0,0,4.8,4,1
30,0.0028352,1,0,0.33529,0.1329,0.27624,0,0,2.0787,0,0,4.9,4,1
30,0.0028439,1,0,0.35163,0.1302,0.27614,0,0,2.1211,0,0,5,4,1
30,0.0028505,1,0,0.3679,0.12764,0.27587,0,0,2.1614,0,0,5.1,4,1
30,0.0028542,1,0,0.38406,0.12521,0.27536,0,0,2.1993,0,0,5.2,4,1
30,0.0028536,1,0,0.40022,0.12285,0.27447,0,0,2.2344,0,0,5.3,4,1
30,0.0028464,1,0,0.41675,0.12044,0.27294,0,0,2.2663,0,0,5.4,4,1
30,0.0028287,1,0,0.43433,0.11784,0.27036,0,0,2.2945,0,0,5.5,4,1
30,0.0027946,1,0,0.45418,0.11482,0.26613,0,0,2.318,0,0,5.6,4,1
30,0.0027348,1,0,0.47836,0.11103,0.25926,0,0,2.3351,0,0,5.7,4,1
30,0.002634,1,0,0.51067,0.10597,0.24824,0,0,2.3426,0,0,5.8,4,1
30,0.0024686,1,0,0.55859,0.098823,0.23071,0,0,2.3342,0,0,5.9,4,1
30,0.0022053,1,0,0.6385,0.088477,0.20352,0,0,2.2984,0,0,6,4,1
30,0.0018126,1,0,0.79033,0.073766,0.16398,0,0,2.2166,0,0,6.1,4,1
30,0.0012948,1,0,1.1281,0.054496,0.11344,0,0,2.0622,0,0,6.2,4,1
30,0.00073471,1,0,2.0782,0.032987,0.061208,0,0,1.8031,0,0,6.3,4,1
30,0.00027825,1,0,6.7059,0.014076,0.021635,0,0,1.3933,0,0,6.4,4,1
30,4.7944e-05,0.5,0,5.3101,0.003193,0.0034194,0,0,0.5717,0,0,6.5,4,1
30,0,0,0,0,0.00020243,0,0,0,0,0,0,6.6,4,1
30,0,0,0,0,0,0,0,0,0,0,0,6.7,4,1
30,0,0,0,0,0,0,0,0,0,0,0,6.8,4,1
30,0,0,0,0,0,0,0,0,0,0,0,6.9,4,1
30,0,0,0,0,0,0,0,0,0,0,0,7,4,1
30,0,0,0,0,0,0,0,0,0,0,0,7.1,4,1
30,0,0,0,0,0,0,0,0,0,0,0,7.2,4,1
30,0,0,0,0,0,0,0,0,0,0,0,7.3,4,1
30,0,0,0,0,0,0,0,0,0,0,0,7.4,4,1
30,0,0,0,0,0,0,0,0,0,0,0,7.5,4,1
30,0,0,0,0,0,0,0,0,0,0,0,7.6,4,1
30,0,0,0,0,0,0,0,0,0,0,0,7.7,4,1
30,0,0,0,0,0,0,0,0,0,0,0,7.8,4,1
30,0,0,0,0,0,0,0,0,0,0,0,7.9,4,1
30,0,0,0,0,0,0,0,0,0,0,0,8,4,1
