"kst","nut","wetDry","S","alpha","H","HU:0","HU:1","HU:2","U:0","U:1","U:2","Points:0","Points:1","Points:2"
30,0,0,0,0,0,0,0,0,0,0,0,6.2,4,0
30,0,0,0,0,0,0,0,0,0,0,0,6.3,4,0
30,0,0,0,0,0,0,0,0,0,0,0,6.4,4,0
30,0,0,0,0,0,0,0,0,0,0,0,6.5,4,0
30,0,0,0,0,0,0,0,0,0,0,0,6.6,4,0
30,0,0,0,0,0,0,0,0,0,0,0,6.7,4,0
30,0,0,0,0,0,0,0,0,0,0,0,6.8,4,0
30,0,0,0,0,0,0,0,0,0,0,0,6.9,4,0
30,0,0,0,0,0,0,0,0,0,0,0,7,4,0
30,0,0,0,0,0,0,0,0,0,0,0,7.1,4,0
30,0,0,0,0,0,0,0,0,0,0,0,7.2,4,0
30,0,0,0,0,0,0,0,0,0,0,0,7.3,4,0
30,0,0,0,0,0,0,0,0,0,0,0,7.4,4,0
30,0,0,0,0,0,0,0,0,0,0,0,7.5,4,0
30,0,0,0,0,0,0,0,0,0,0,0,7.6,4,0
30,0,0,0,0,0,0,0,0,0,0,0,7.7,4,0
30,0,0,0,0,0,0,0,0,0,0,0,7.8,4,0
30,0,0,0,0,0,0,0,0,0,0,0,7.9,4,0
30,0,0,0,0,0,0,0,0,0,0,0,8,4,0
30,0.0030765,1,0,0.19315,0.17833,0.31335,-0.042606,-1.625e-27,1.7572,-0.23892,-9.1122e-27,4,0,1
30,0.0030948,1,0,0.23386,0.16341,0.31194,0,0,1.9094,0,0,4.1,0,1
30,0.0031297,1,0,0.25062,0.1591,0.31404,0,0,1.9742,0,0,4.2,0,1
30,0.0031617,1,0,0.26832,0.1549,0.3158,0,0,2.0392,0,0,4.3,0,1
30,0.0031907,1,0,0.287,0.1508,0.31724,0,0,2.1042,0,0,4.4,0,1
30,0.0032155,1,0,0.30667,0.14678,0.31827,0,0,2.1687,0,0,4.5,0,1
30,0.0032348,1,0,0.32728,0.14284,0.31873,0,0,2.2318,0,0,4.6,0,1
30,0.0032467,1,0,0.3487,0.13896,0.31848,0,0,2.2922,0,0,4.7,0,1
30,0.0032491,1,0,0.37081,0.13513,0.31732,0,0,2.3486,0,0,4.8,0,1
30,0.0032391,1,0,0.39362,0.13129,0.31497,0,0,2.3994,0,0,4.9,0,1
30,0.0032124,1,0,0.41745,0.12731,0.31097,0,0,2.4429,0,0,5,0,1
30,0.0031619,1,0,0.44326,0.12297,0.30461,0,0,2.4774,0,0,5.1,0,1
30,0.0030762,1,0,0.47313,0.11788,0.29472,0,0,2.5004,0,0,5.2,0,1
30,0.0029374,1,0,0.51142,0.11143,0.27947,0,0,2.508,0,0,5.3,0,1
30,0.0027177,1,0,0.5671,0.10269,0.25612,0,0,2.4934,0,0,5.4,0,1
30,0.0023822,1,0,0.6601,0.090441,0.22134,0,0,2.4446,0,0,5.5,0,1
30,0.0019048,1,0,0.83964,0.073632,0.17312,0,0,2.3423,0,0,5.6,0,1
30,0.0013094,1,0,1.2477,0.052613,0.11492,0,0,2.1593,0,0,5.7,0,1
30,0.00070311,1,0,2.4602,0.030344,0.058504,0,0,1.8631,0,0,5.8,0,1
30,0.00024443,1,0,9.0062,0.01202,0.01895,0,0,1.405,0,0,5.9,0,1
30,3.6343e-05,0.5,0,7.3138,0.0024235,0.0025875,0,0,0.56379,0,0,6,0,1
30,0,0,0,0,0.00012879,0,0,0,0,0,0,6.1,0,1
30,0,0,0,0,0,0,0,0,0,0,0,6.2,0,1
30,0,0,0,0,0,0,0,0,0,0,0,6.3,0,1
30,0,0,0,0,0,0,0,0,0,0,0,6.4,0,1
30,0,0,0,0,0,0,0,0,0,0,0,6.5,0,1
30,0,0,0,0,0,0,0,0,0,0,0,6.6,0,1
30,0,0,0,0,0,0,0,0,0,0,0,6.7,0,1
30,0,0,0,0,0,0,0,0,0,0,0,6.8,0,1
30,0,0,0,0,0,0,0,0,0,0,0,6.9,0,1
30,0,0,0,0,0,0,0,0,0,0,0,7,0,1
30,0,0,0,0,0,0,0,0,0,0,0,7.1,0,1
30,0,0,0,0,0,0,0,0,0,0,0,7.2,0,1
30,0,0,0,0,0,0,0,0,0,0,0,7.3,0,1
30,0,0,0,0,0,0,0,0,0,0,0,7.4,0,1
30,0,0,0,0,0,0,0,0,0,0,0,7.5,0,1
30,0,0,0,0,0,0,0,0,0,0,0,7.6,0,1
30,0,0,0,0,0,0,0,0,0,0,0,7.7,0,1
30,0,0,0,0,0,0,0,0,0,0,0,7.8,0,1
30,0,0,0,0,0,0,0,0,0,0,0,7.9,0,1
30,0,0,0,0,0,0,0,0,0,0,0,8,0,1
30,0.0030765,1,0,0.19315,0.17833,0.31335,-0.042606,-1.625e-27,1.7572,-0.23892,-9.1122e-27,4,4,1
30,0.0030948,1,0,0.23386,0.16341,0.31194,0,0,1.9094,0,0,4.1,4,1
30,0.0031297,1,0,0.25062,0.1591,0.31404,0,0,1.9742,0,0,4.2,4,1
30,0.0031617,1,0,0.26832,0.1549,0.3158,0,0,2.0392,0,0,4.3,4,1
30,0.0031907,1,0,0.287,0.1508,0.31724,0,0,2.1042,0,0,4.4,4,1
30,0.0032155,1,0,0.30667,0.14678,0.31827,0,0,2.1687,0,0,4.5,4,1
30,0.0032348,1,0,0.32728,0.14284,0.31873,0,0,2.2318,0,0,4.6,4,1
30,0.0032467,1,0,0.3487,0.13896,0.31848,0,0,2.2922,0,0,4.7,4,1
30,0.0032491,1,0,0.37081,0.13513,0.31732,0,0,2.3486,0,0,4.8,4,1
30,0.0032391,1,0,0.39362,0.13129,0.31497,0,0,2.3994,0,0,4.9,4,1
30,0.0032124,1,0,0.41745,0.12731,0.31097,0,0,2.4429,0,0,5,4,1
30,0.0031619,1,0,0.44326,0.12297,0.30461,0,0,2.4774,0,0,5.1,4,1
30,0.0030762,1,0,0.47313,0.11788,0.29472,0,0,2.5004,0,0,5.2,4,1
30,0.0029374,1,0,0.51142,0.11143,0.27947,0,0,2.508,0,0,5.3,4,1
30,0.0027177,1,0,0.5671,0.10269,0.25612,0,0,2.4934,0,0,5.4,4,1
30,0.0023822,1,0,0.6601,0.090441,0.22134,0,0,2.4446,0,0,5.5,4,1
30,0.0019048,1,0,0.83964,0.073632,0.17312,0,0,2.3423,0,0,5.6,4,1
30,0.0013094,1,0,1.2477,0.052613,0.11492,0,0,2.1593,0,0,5.7,4,1
30,0.00070311,1,0,2.4602,0.030344,0.058504,0,0,1.8631,0,0,5.8,4,1
