"kst","nut","wetDry","S","alpha","H","HU:0","HU:1","HU:2","U:0","U:1","U:2","Points:0","Points:1","Points:2"
30,0.040819,1,0,0.083896,0.8638,-5.4541,0,0,-6.3146,0,0,5.5,4,0
30,0.041349,1,0,0.079692,0.88975,-5.5515,0,0,-6.24,0,0,5.6,4,0
30,0.041859,1,0,0.075716,0.91613,-5.6469,0,0,-6.1644,0,0,5.7,4,0
30,0.042349,1,0,0.071957,0.9429,-5.7399,0,0,-6.088,0,0,5.8,4,0
30,0.042818,1,0,0.068403,0.97006,-5.8305,0,0,-6.011,0,0,5.9,4,0
30,0.043266,1,0,0.065043,0.99759,-5.9185,0,0,-5.9334,0,0,6,4,0
30,0.043691,1,0,0.061867,1.0255,-6.0038,0,0,-5.8553,0,0,6.1,4,0
30,0.044094,1,0,0.058866,1.0537,-6.0862,0,0,-5.7768,0,0,6.2,4,0
30,0.044474,1,0,0.05603,1.0821,-6.1656,0,0,-5.6981,0,0,6.3,4,0
30,0.04483,1,0,0.053351,1.1109,-6.2419,0,0,-5.6192,0,0,6.4,4,0
30,0.045162,1,0,0.050822,1.1399,-6.3149,0,0,-5.5404,0,0,6.5,4,0
30,0.045469,1,0,0.048435,1.1691,-6.3845,0,0,-5.4616,0,0,6.6,4,0
30,0.045752,1,0,0.046184,1.1984,-6.4506,0,0,-5.3832,0,0,6.7,4,0
30,0.04601,1,0,0.044062,1.2278,-6.513,0,0,-5.3051,0,0,6.8,4,0
30,0.046243,1,0,0.042064,1.2572,-6.5718,0,0,-5.2276,0,0,6.9,4,0
30,0.04645,1,0,0.040186,1.2866,-6.6267,0,0,-5.1509,0,0,7,4,0
30,0.046633,1,0,0.038423,1.3158,-6.6777,0,0,-5.0753,0,0,7.1,4,0
30,0.046791,1,0,0.036774,1.3448,-6.7247,0,0,-5.001,0,0,7.2,4,0
30,0.046926,1,0,0.035234,1.3733,-6.7677,0,0,-4.9283,0,0,7.3,4,0
30,0.047037,1,0,0.033803,1.4013,-6.8067,0,0,-4.8577,0,0,7.4,4,0
30,0.047126,1,0,0.032481,1.4285,-6.8416,0,0,-4.7896,0,0,7.5,4,0
30,0.047194,1,0,0.031268,1.4547,-6.8725,0,0,-4.7245,0,0,7.6,4,0
30,0.047244,1,0,0.030166,1.4797,-6.8995,0,0,-4.6631,0,0,7.7,4,0
30,0.047278,1,0,0.029178,1.503,-6.9227,0,0,-4.6061,0,0,7.8,4,0
30,0.047298,1,0,0.028308,1.5244,-6.9424,0,0,-4.5544,0,0,7.9,4,0
30,0.047306,1,0,0.01514,2,-7,0,0,-3.5,0,0,8,4,0
30,0.031329,1,0,0.17907,0.53934,-3.8827,0,0,-7.1991,0,0,4,0,1
30,0.031697,1,0,0.17468,0.54859,-3.9386,0,0,-7.1798,0,0,4.1,0,1
30,0.032438,1,0,0.16589,0.56778,-4.0521,0,0,-7.1372,0,0,4.2,0,1
30,0.033177,1,0,0.15732,0.58786,-4.167,0,0,-7.0889,0,0,4.3,0,1
30,0.033898,1,0,0.1492,0.60836,-4.2807,0,0,-7.0369,0,0,4.4,0,1
30,0.034603,1,0,0.14152,0.62927,-4.3932,0,0,-6.9819,0,0,4.5,0,1
30,0.035292,1,0,0.13425,0.65061,-4.5046,0,0,-6.9241,0,0,4.6,0,1
30,0.035967,1,0,0.12736,0.67242,-4.615,0,0,-6.8638,0,0,4.7,0,1
30,0.036627,1,0,0.12083,0.6947,-4.7244,0,0,-6.8012,0,0,4.8,0,1
30,0.037274,1,0,0.11465,0.71745,-4.8328,0,0,-6.7366,0,0,4.9,0,1
30,0.037905,1,0,0.1088,0.74068,-4.94,0,0,-6.6701,0,0,5,0,1
30,0.038521,1,0,0.10325,0.76438,-5.0459,0,0,-6.6018,0,0,5.1,0,1
30,0.039121,1,0,0.098006,0.78855,-5.1504,0,0,-6.532,0,0,5.2,0,1
30,0.039705,1,0,0.09304,0.81318,-5.2534,0,0,-6.4608,0,0,5.3,0,1
30,0.040271,1,0,0.088341,0.83827,-5.3546,0,0,-6.3883,0,0,5.4,0,1
30,0.040819,1,0,0.083896,0.8638,-5.4541,0,0,-6.3146,0,0,5.5,0,1
30,0.041349,1,0,0.079692,0.88975,-5.5515,0,0,-6.24,0,0,5.6,0,1
30,0.041859,1,0,0.075716,0.91613,-5.6469,0,0,-6.1644,0,0,5.7,0,1
30,0.042349,1,0,0.071957,0.9429,-5.7399,0,0,-6.088,0,0,5.8,0,1
30,0.042818,1,0,0.068403,0.97006,-5.8305,0,0,-6.011,0,0,5.9,0,1
30,0.043266,1,0,0.065043,0.99759,-5.9185,0,0,-5.9334,0,0,6,0,1
30,0.043691,1,0,0.061867,1.0255,-6.0038,0,0,-5.8553,0,0,6.1,0,1
30,0.044094,1,0,0.058866,1.0537,-6.0862,0,0,-5.7768,0,0,6.2,0,1
30,0.044474,1,0,0.05603,1.0821,-6.1656,0,0,-5.6981,0,0,6.3,0,1
30,0.04483,1,0,0.053351,1.1109,-6.2419,0,0,-5.6192,0,0,6.4,0,1
30,0.045162,1,0,0.050822,1.1399,-6.3149,0,0,-5.5404,0,0,6.5,0,1
30,0.045469,1,0,0.048435,1.1691,-6.3845,0,0,-5.4616,0,0,6.6,0,1
30,0.045752,1,0,0.046184,1.1984,-6.4506,0,0,-5.3832,0,0,6.7,0,1
30,0.04601,1,0,0.044062,1.2278,-6.513,0,0,-5.3051,0,0,6.8,0,1
30,0.046243,1,0,0.042064,1.2572,-6.5718,0,0,-5.2276,0,0,6.9,0,1
30,0.04645,1,0,0.040186,1.2866,-6.6267,0,0,-5.1509,0,0,7,0,1
30,0.046633,1,0,0.038423,1.3158,-6.6777,0,0,-5.0753,0,0,7.1,0,1
30,0.046791,1,0,0.036774,1.3448,-6.7247,0,0,-5.001,0,0,7.2,0,1
30,0.046926,1,0,0.035234,1.3733,-6.7677,0,0,-4.9283,0,0,7.3,0,1
30,0.047037,1,0,0.033803,1.4013,-6.8067,0,0,-4.8577,0,0,7.4,0,1
30,0.047126,1,0,0.032481,1.4285,-6.8416,0,0,-4.7896,0,0,7.5,0,1
30,0.047194,1,0,0.031268,1.4547,-6.8725,0,0,-4.7245,0,0,7.6,0,1
30,0.047244,1,0,0.030166,1.4797,-6.8995,0,0,-4.6631,0,0,7.7,0,1
30,0.047278,1,0,0.029178,1.503,-6.9227,0,0,-4.6061,0,0,7.8,0,1
30,0.047298,1,0,0.028308,1.5244,-6.9424,0,0,-4.5544,0,0,7.9,0,1
30,0.047306,1,0,0.01514,2,-7,0,0,-3.5,0,0,8,0,1
30,0.031329,1,0,0.17907,0.53934,-3.8827,0,0,-7.1991,0,0,4,4,1
30,0.031697,1,0,0.17468,0.54859,-3.9386,0,0,-7.1798,0,0,4.1,4,1
30,0.032438,1,0,0.16589,0.56778,-4.0521,0,0,-7.1372,0,0,4.2,4,1
30,0.033177,1,0,0.15732,0.58786,-4.167,0,0,-7.0889,0,0,4.3,4,1
30,0.033898,1,0,0.1492,0.60836,-4.2807,0,0,-7.0369,0,0,4.4,4,1
30,0.034603,1,0,0.14152,0.62927,-4.3932,0,0,-6.9819,0,0,4.5,4,1
30,0.035292,1,0,0.13425,0.65061,-4.5046,0,0,-6.9241,0,0,4.6,4,1
30,0.035967,1,0,0.12736,0.67242,-4.615,0,0,-6.8638,0,0,4.7,4,1
30,0.036627,1,0,0.12083,0.6947,-4.7244,0,0,-6.8012,0,0,4.8,4,1
30,0.037274,1,0,0.11465,0.71745,-4.8328,0,0,-6.7366,0,0,4.9,4,1
30,0.037905,1,0,0.1088,0.74068,-4.94,0,0,-6.6701,0,0,5,4,1
30,0.038521,1,0,0.10325,0.76438,-5.0459,0,0,-6.6018,0,0,5.1,4,1
30,0.039121,1,0,0.098006,0.78855,-5.1504,0,0,-6.532,0,0,5.2,4,1
30,0.039705,1,0,0.09304,0.81318,-5.2534,0,0,-6.4608,0,0,5.3,4,1
30,0.040271,1,0,0.088341,0.83827,-5.3546,0,0,-6.3883,0,0,5.4,4,1
30,0.040819,1,0,0.083896,0.8638,-5.4541,0,0,-6.3146,0,0,5.5,4,1
30,0.041349,1,0,0.079692,0.88975,-5.5515,0,0,-6.24,0,0,5.6,4,1
30,0.041859,1,0,0.075716,0.91613,-5.6469,0,0,-6.1644,0,0,5.7,4,1
30,0.042349,1,0,0.071957,0.9429,-5.7399,0,0,-6.088,0,0,5.8,4,1
30,0.042818,1,0,0.068403,0.97006,-5.8305,0,0,-6.011,0,0,5.9,4,1
30,0.043266,1,0,0.065043,0.99759,-5.9185,0,0,-5.9334,0,0,6,4,1
30,0.043691,1,0,0.061867,1.0255,-6.0038,0,0,-5.8553,0,0,6.1,4,1
30,0.044094,1,0,0.058866,1.0537,-6.0862,0,0,-5.7768,0,0,6.2,4,1
30,0.044474,1,0,0.05603,1.0821,-6.1656,0,0,-5.6981,0,0,6.3,4,1
30,0.04483,1,0,0.053351,1.1109,-6.2419,0,0,-5.6192,0,0,6.4,4,1
30,0.045162,1,0,0.050822,1.1399,-6.3149,0,0,-5.5404,0,0,6.5,4,1
30,0.045469,1,0,0.048435,1.1691,-6.3845,0,0,-5.4616,0,0,6.6,4,1
30,0.045752,1,0,0.046184,1.1984,-6.4506,0,0,-5.3832,0,0,6.7,4,1
30,0.04601,1,0,0.044062,1.2278,-6.513,0,0,-5.3051,0,0,6.8,4,1
30,0.046243,1,0,0.042064,1.2572,-6.5718,0,0,-5.2276,0,0,6.9,4,1
30,0.04645,1,0,0.040186,1.2866,-6.6267,0,0,-5.1509,0,0,7,4,1
30,0.046633,1,0,0.038423,1.3158,-6.6777,0,0,-5.0753,0,0,7.1,4,1
30,0.046791,1,0,0.036774,1.3448,-6.7247,0,0,-5.001,0,0,7.2,4,1
30,0.046926,1,0,0.035234,1.3733,-6.7677,0,0,-4.9283,0,0,7.3,4,1
30,0.047037,1,0,0.033803,1.4013,-6.8067,0,0,-4.8577,0,0,7.4,4,1
30,0.047126,1,0,0.032481,1.4285,-6.8416,0,0,-4.7896,0,0,7.5,4,1
30,0.047194,1,0,0.031268,1.4547,-6.8725,0,0,-4.7245,0,0,7.6,4,1
30,0.047244,1,0,0.030166,1.4797,-6.8995,0,0,-4.6631,0,0,7.7,4,1
30,0.047278,1,0,0.029178,1.503,-6.9227,0,0,-4.6061,0,0,7.8,4,1
30,0.047298,1,0,0.028308,1.5244,-6.9424,0,0,-4.5544,0,0,7.9,4,1
30,0.047306,1,0,0.01514,2,-7,0,0,-3.5,0,0,8,4,1
